Ámbito,Partido,Votos
VITORIA-GASTEIZ,PSE-PSOE,29360
ALEGRÍA-DULANTZI,PSE-PSOE,257
ARAMAIO,PSE-PSOE,26
ARMIÑÓN,PSE-PSOE,19
ARRATZUA-UBARRUNDIA,PSE-PSOE,75
ASPARRENA,PSE-PSOE,85
BAÑOS DE EBRO/MAÑUETA,PSE-PSOE,34
BARRUNDIA,PSE-PSOE,47
BERANTEVILLA,PSE-PSOE,45
BERNEDO,PSE-PSOE,25
CAMPEZO/KANPEZU,PSE-PSOE,53
ZIGOITIA,PSE-PSOE,129
KRIPAN,PSE-PSOE,8
KUARTANGO,PSE-PSOE,16
ELBURGO/BURGELU,PSE-PSOE,45
ELCIEGO,PSE-PSOE,157
ELVILLAR/BILAR,PSE-PSOE,23
IRURAIZ-GAUNA,PSE-PSOE,17
LABASTIDA/BASTIDA,PSE-PSOE,133
LAGRÁN,PSE-PSOE,21
LAGUARDIA,PSE-PSOE,124
LANCIEGO/LANTZIEGO,PSE-PSOE,95
LAPUEBLA DE LABARCA,PSE-PSOE,99
LEZA,PSE-PSOE,27
ARRAIA-MAEZTU,PSE-PSOE,32
MOREDA DE ÁLAVA/MOREDA ARABA,PSE-PSOE,44
NAVARIDAS,PSE-PSOE,6
OYÓN-OION,PSE-PSOE,398
PEÑACERRADA-URIZAHARRA,PSE-PSOE,30
ERRIBERAGOITIA/RIBERA ALTA,PSE-PSOE,66
RIBERA BAJA/ERRIBERA BEITIA,PSE-PSOE,139
AÑANA,PSE-PSOE,6
AGURAIN/SALVATIERRA,PSE-PSOE,240
SAMANIEGO,PSE-PSOE,47
SAN MILLÁN/DONEMILIAGA,PSE-PSOE,32
URKABUSTAIZ,PSE-PSOE,64
VALDEGOVÍA/GAUBEA,PSE-PSOE,72
HARANA/VALLE DE ARANA,PSE-PSOE,7
VILLABUENA DE ÁLAVA/ESKUERNAGA,PSE-PSOE,13
LEGUTIO,PSE-PSOE,104
YÉCORA/IEKORA,PSE-PSOE,21
ZALDUONDO,PSE-PSOE,12
ZAMBRANA,PSE-PSOE,39
ZUIA,PSE-PSOE,160
IRUÑA OKA/IRUÑA DE OCA,PSE-PSOE,387
