index,TH,Cod Comarca,Cod Municipio,Ámbito
0,Araba-Alava,1,59,VITORIA-GASTEIZ
1,Araba-Alava,2,1,ALEGRÍA-DULANTZI
2,Araba-Alava,2,3,ARAMAIO
3,Araba-Alava,2,6,ARMIÑÓN
4,Araba-Alava,2,8,ARRATZUA-UBARRUNDIA
5,Araba-Alava,2,9,ASPARRENA
6,Araba-Alava,2,11,BAÑOS DE EBRO/MAÑUETA
7,Araba-Alava,2,13,BARRUNDIA
8,Araba-Alava,2,14,BERANTEVILLA
9,Araba-Alava,2,16,BERNEDO
10,Araba-Alava,2,17,CAMPEZO/KANPEZU
11,Araba-Alava,2,18,ZIGOITIA
12,Araba-Alava,2,19,KRIPAN
13,Araba-Alava,2,20,KUARTANGO
14,Araba-Alava,2,21,ELBURGO/BURGELU
15,Araba-Alava,2,22,ELCIEGO
16,Araba-Alava,2,23,ELVILLAR/BILAR
17,Araba-Alava,2,27,IRURAIZ-GAUNA
18,Araba-Alava,2,28,LABASTIDA/BASTIDA
19,Araba-Alava,2,30,LAGRÁN
20,Araba-Alava,2,31,LAGUARDIA
21,Araba-Alava,2,32,LANCIEGO/LANTZIEGO
22,Araba-Alava,2,33,LAPUEBLA DE LABARCA
23,Araba-Alava,2,34,LEZA
24,Araba-Alava,2,37,ARRAIA-MAEZTU
25,Araba-Alava,2,39,MOREDA DE ÁLAVA/MOREDA ARABA
26,Araba-Alava,2,41,NAVARIDAS
27,Araba-Alava,2,43,OYÓN-OION
28,Araba-Alava,2,44,PEÑACERRADA-URIZAHARRA
29,Araba-Alava,2,46,ERRIBERAGOITIA/RIBERA ALTA
30,Araba-Alava,2,47,RIBERA BAJA/ERRIBERA BEITIA
31,Araba-Alava,2,49,AÑANA
32,Araba-Alava,2,51,AGURAIN/SALVATIERRA
33,Araba-Alava,2,52,SAMANIEGO
34,Araba-Alava,2,53,SAN MILLÁN/DONEMILIAGA
35,Araba-Alava,2,54,URKABUSTAIZ
36,Araba-Alava,2,55,VALDEGOVÍA/GAUBEA
37,Araba-Alava,2,56,HARANA/VALLE DE ARANA
38,Araba-Alava,2,57,VILLABUENA DE ÁLAVA/ESKUERNAGA
39,Araba-Alava,2,58,LEGUTIO
40,Araba-Alava,2,60,YÉCORA/IEKORA
41,Araba-Alava,2,61,ZALDUONDO
42,Araba-Alava,2,62,ZAMBRANA
43,Araba-Alava,2,63,ZUIA
44,Araba-Alava,2,901,IRUÑA OKA/IRUÑA DE OCA
45,Araba-Alava,2,902,LANTARÓN
46,Araba-Alava,3,2,AMURRIO
47,Araba-Alava,3,4,ARTZINIEGA
48,Araba-Alava,3,10,AYALA/AIARA
49,Araba-Alava,3,36,LAUDIO/LLODIO
50,Araba-Alava,3,42,OKONDO
51,Araba-Alava,99,999,MUNICIPIO CERA ARABA
52,Bizkaia,1,20,BILBAO
53,Bizkaia,2,2,ABANTO Y CIÉRVANA-ABANTO ZIERBENA
54,Bizkaia,2,8,ARTZENTALES
55,Bizkaia,2,13,BARAKALDO
56,Bizkaia,2,22,KARRANTZA HARANA/VALLE DE CARRANZA
57,Bizkaia,2,37,GALDAMES
58,Bizkaia,2,42,GORDEXOLA
59,Bizkaia,2,45,GÜEÑES
60,Bizkaia,2,51,LANESTOSA
61,Bizkaia,2,71,MUSKIZ
62,Bizkaia,2,78,PORTUGALETE
63,Bizkaia,2,80,VALLE DE TRÁPAGA-TRAPAGARAN
64,Bizkaia,2,82,SANTURTZI
65,Bizkaia,2,83,ORTUELLA
66,Bizkaia,2,84,SESTAO
67,Bizkaia,2,86,SOPUERTA
68,Bizkaia,2,87,TRUCIOS-TURTZIOZ
69,Bizkaia,2,90,BALMASEDA
70,Bizkaia,2,96,ZALLA
71,Bizkaia,2,912,ALONSOTEGI
72,Bizkaia,2,913,ZIERBENA
73,Bizkaia,3,1,ABADIÑO
74,Bizkaia,3,3,AMOREBIETA-ETXANO
75,Bizkaia,3,5,ARAKALDO
76,Bizkaia,3,6,ARANTZAZU
77,Bizkaia,3,9,ARRANKUDIAGA
78,Bizkaia,3,11,ARRIGORRIAGA
79,Bizkaia,3,15,BASAURI
80,Bizkaia,3,19,BERRIZ
81,Bizkaia,3,23,ARTEA
82,Bizkaia,3,24,ZEANURI
83,Bizkaia,3,25,ZEBERIO
84,Bizkaia,3,26,DIMA
85,Bizkaia,3,27,DURANGO
86,Bizkaia,3,29,ETXEBARRI
87,Bizkaia,3,32,ELORRIO
88,Bizkaia,3,34,ERMUA
89,Bizkaia,3,36,GALDAKAO
90,Bizkaia,3,39,GARAI
91,Bizkaia,3,50,IZURTZA
92,Bizkaia,3,55,LEMOA
93,Bizkaia,3,58,MALLABIA
94,Bizkaia,3,59,MAÑARIA
95,Bizkaia,3,65,UGAO-MIRABALLES
96,Bizkaia,3,72,OTXANDIO
97,Bizkaia,3,74,URDUÑA/ORDUÑA
98,Bizkaia,3,75,OROZKO
99,Bizkaia,3,88,UBIDE
100,Bizkaia,3,91,ATXONDO
101,Bizkaia,3,92,BEDIA
102,Bizkaia,3,93,AREATZA
103,Bizkaia,3,94,IGORRE
104,Bizkaia,3,95,ZALDIBAR
105,Bizkaia,3,97,ZARATAMO
106,Bizkaia,3,910,IURRETA
107,Bizkaia,4,4,AMOROTO
108,Bizkaia,4,7,MUNITIBAR-ARBATZEGI GERRIKAITZ-
109,Bizkaia,4,10,ARRIETA
110,Bizkaia,4,12,BAKIO
111,Bizkaia,4,14,BARRIKA
112,Bizkaia,4,16,BERANGO
113,Bizkaia,4,17,BERMEO
114,Bizkaia,4,18,BERRIATUA
115,Bizkaia,4,21,BUSTURIA
116,Bizkaia,4,28,EA
117,Bizkaia,4,30,ETXEBARRIA
118,Bizkaia,4,31,ELANTXOBE
119,Bizkaia,4,33,EREÑO
120,Bizkaia,4,35,FRUIZ
121,Bizkaia,4,38,GAMIZ-FIKA
122,Bizkaia,4,40,GATIKA
123,Bizkaia,4,41,GAUTEGIZ ARTEAGA
124,Bizkaia,4,43,GORLIZ
125,Bizkaia,4,44,GETXO
126,Bizkaia,4,46,GERNIKA-LUMO
127,Bizkaia,4,47,GIZABURUAGA
128,Bizkaia,4,48,IBARRANGELU
129,Bizkaia,4,49,ISPASTER
130,Bizkaia,4,52,LARRABETZU
131,Bizkaia,4,53,LAUKIZ
132,Bizkaia,4,54,LEIOA
133,Bizkaia,4,56,LEMOIZ
134,Bizkaia,4,57,LEKEITIO
135,Bizkaia,4,60,MARKINA-XEMEIN
136,Bizkaia,4,61,MARURI-JATABE
137,Bizkaia,4,62,MENDATA
138,Bizkaia,4,63,MENDEXA
139,Bizkaia,4,64,MEÑAKA
140,Bizkaia,4,66,MORGA
141,Bizkaia,4,67,MUXIKA
142,Bizkaia,4,68,MUNDAKA
143,Bizkaia,4,69,MUNGIA
144,Bizkaia,4,70,AULESTI
145,Bizkaia,4,73,ONDARROA
146,Bizkaia,4,76,SUKARRIETA
147,Bizkaia,4,77,PLENTZIA
148,Bizkaia,4,79,ERRIGOITI
149,Bizkaia,4,81,LEZAMA
150,Bizkaia,4,85,SOPELA
151,Bizkaia,4,89,URDULIZ
152,Bizkaia,4,901,DERIO
153,Bizkaia,4,902,ERANDIO
154,Bizkaia,4,903,LOIU
155,Bizkaia,4,904,SONDIKA
156,Bizkaia,4,905,ZAMUDIO
157,Bizkaia,4,906,FORUA
158,Bizkaia,4,907,KORTEZUBI
159,Bizkaia,4,908,MURUETA
160,Bizkaia,4,909,NABARNIZ
161,Bizkaia,4,911,AJANGIZ
162,Bizkaia,4,914,ARRATZU
163,Bizkaia,4,915,ZIORTZA - BOLIBAR
164,Bizkaia,99,999,MUNICIPIO CERA BIZKAIA
165,Gipuzkoa,1,40,HERNANI
166,Gipuzkoa,1,69,DONOSTIA/SAN SEBASTIÁN
167,Gipuzkoa,1,72,URNIETA
168,Gipuzkoa,1,73,USURBIL
169,Gipuzkoa,1,902,LASARTE-ORIA
170,Gipuzkoa,1,903,ASTIGARRAGA
171,Gipuzkoa,2,36,HONDARRIBIA
172,Gipuzkoa,2,45,IRUN
173,Gipuzkoa,2,53,LEZO
174,Gipuzkoa,2,63,OIARTZUN
175,Gipuzkoa,2,64,PASAIA
176,Gipuzkoa,2,67,ERRENTERIA
177,Gipuzkoa,3,1,ABALTZISKETA
178,Gipuzkoa,3,2,ADUNA
179,Gipuzkoa,3,4,ALBIZTUR
180,Gipuzkoa,3,5,ALEGIA
181,Gipuzkoa,3,6,ALKIZA
182,Gipuzkoa,3,7,ALTZO
183,Gipuzkoa,3,8,AMEZKETA
184,Gipuzkoa,3,9,ANDOAIN
185,Gipuzkoa,3,10,ANOETA
186,Gipuzkoa,3,12,ARAMA
187,Gipuzkoa,3,14,ASTEASU
188,Gipuzkoa,3,15,ATAUN
189,Gipuzkoa,3,19,BEASAIN
190,Gipuzkoa,3,21,BELAUNTZA
191,Gipuzkoa,3,22,BERASTEGI
192,Gipuzkoa,3,23,BERROBI
193,Gipuzkoa,3,25,ZEGAMA
194,Gipuzkoa,3,26,ZERAIN
195,Gipuzkoa,3,28,ZIZURKIL
196,Gipuzkoa,3,31,ELDUAIN
197,Gipuzkoa,3,35,EZKIO-ITSASO
198,Gipuzkoa,3,37,GAINTZA
199,Gipuzkoa,3,38,GABIRIA
200,Gipuzkoa,3,41,HERNIALDE
201,Gipuzkoa,3,42,IBARRA
202,Gipuzkoa,3,43,IDIAZABAL
203,Gipuzkoa,3,44,IKAZTEGIETA
204,Gipuzkoa,3,46,IRURA
205,Gipuzkoa,3,47,ITSASONDO
206,Gipuzkoa,3,48,LARRAUL
207,Gipuzkoa,3,49,LAZKAO
208,Gipuzkoa,3,50,LEABURU
209,Gipuzkoa,3,51,LEGAZPI
210,Gipuzkoa,3,52,LEGORRETA
211,Gipuzkoa,3,54,LIZARTZA
212,Gipuzkoa,3,57,MUTILOA
213,Gipuzkoa,3,58,OLABERRIA
214,Gipuzkoa,3,60,OREXA
215,Gipuzkoa,3,62,ORMAIZTEGI
216,Gipuzkoa,3,70,SEGURA
217,Gipuzkoa,3,71,TOLOSA
218,Gipuzkoa,3,75,VILLABONA
219,Gipuzkoa,3,76,ORDIZIA
220,Gipuzkoa,3,77,URRETXU
221,Gipuzkoa,3,78,ZALDIBIA
222,Gipuzkoa,3,80,ZUMARRAGA
223,Gipuzkoa,3,904,BALIARRAIN
224,Gipuzkoa,3,905,ORENDAIN
225,Gipuzkoa,3,906,ALTZAGA
226,Gipuzkoa,3,907,GAZTELU
227,Gipuzkoa,4,3,AIZARNAZABAL
228,Gipuzkoa,4,11,ANTZUOLA
229,Gipuzkoa,4,13,ARETXABALETA
230,Gipuzkoa,4,16,AIA
231,Gipuzkoa,4,17,AZKOITIA
232,Gipuzkoa,4,18,AZPEITIA
233,Gipuzkoa,4,20,BEIZAMA
234,Gipuzkoa,4,24,BIDANIA-GOIATZ
235,Gipuzkoa,4,27,ZESTOA
236,Gipuzkoa,4,29,DEBA
237,Gipuzkoa,4,30,EIBAR
238,Gipuzkoa,4,32,ELGOIBAR
239,Gipuzkoa,4,33,ELGETA
240,Gipuzkoa,4,34,ESKORIATZA
241,Gipuzkoa,4,39,GETARIA
242,Gipuzkoa,4,55,ARRASATE/MONDRAGON
243,Gipuzkoa,4,56,MUTRIKU
244,Gipuzkoa,4,59,OÑATI
245,Gipuzkoa,4,61,ORIO
246,Gipuzkoa,4,65,SORALUZE-PLACENCIA DE LAS ARMAS
247,Gipuzkoa,4,66,ERREZIL
248,Gipuzkoa,4,68,LEINTZ-GATZAGA
249,Gipuzkoa,4,74,BERGARA
250,Gipuzkoa,4,79,ZARAUTZ
251,Gipuzkoa,4,81,ZUMAIA
252,Gipuzkoa,4,901,MENDARO
253,Gipuzkoa,99,999,MUNICIPIO CERA GIPUZKOA
