index,Ámbito,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención
0,VITORIA-GASTEIZ,190184,119287,798.0,118489,908.0,117581,70897
1,ALEGRÍA-DULANTZI,2016,1326,15.0,1311,25.0,1286,690
2,ARAMAIO,1176,835,2.0,833,4.0,829,341
3,ARMIÑÓN,176,124,2.0,122,3.0,119,52
4,ARRATZUA-UBARRUNDIA,803,531,2.0,529,4.0,525,272
5,ASPARRENA,1266,909,8.0,901,5.0,896,357
6,BAÑOS DE EBRO/MAÑUETA,228,196,5.0,191,5.0,186,32
7,BARRUNDIA,712,474,5.0,469,1.0,468,238
8,BERANTEVILLA,371,299,8.0,291,5.0,286,72
9,BERNEDO,419,244,0.0,244,7.0,237,175
10,CAMPEZO/KANPEZU,821,567,5.0,562,10.0,552,254
11,ZIGOITIA,1408,909,3.0,906,11.0,895,499
12,KRIPAN,149,114,1.0,113,0.0,113,35
13,KUARTANGO,322,248,3.0,245,6.0,239,74
14,ELBURGO/BURGELU,470,317,1.0,316,2.0,314,153
15,ELCIEGO,771,607,12.0,595,17.0,578,164
16,ELVILLAR/BILAR,262,195,0.0,195,3.0,192,67
17,IRURAIZ-GAUNA,433,295,0.0,295,1.0,294,138
18,LABASTIDA/BASTIDA,1083,795,19.0,776,17.0,759,288
19,LAGRÁN,140,120,0.0,120,1.0,119,20
20,LAGUARDIA,1169,953,48.0,905,28.0,877,216
21,LANCIEGO/LANTZIEGO,499,376,10.0,366,3.0,363,123
22,LAPUEBLA DE LABARCA,659,555,11.0,544,16.0,528,104
23,LEZA,155,117,0.0,117,1.0,116,38
24,ARRAIA-MAEZTU,588,451,4.0,447,5.0,442,137
25,MOREDA DE ÁLAVA/MOREDA ARABA,196,158,3.0,155,0.0,155,38
26,NAVARIDAS,153,122,3.0,119,0.0,119,31
27,OYÓN-OION,2337,1543,19.0,1524,39.0,1485,794
28,PEÑACERRADA-URIZAHARRA,231,176,9.0,167,2.0,165,55
29,ERRIBERAGOITIA/RIBERA ALTA,636,465,1.0,464,9.0,455,171
30,RIBERA BAJA/ERRIBERA BEITIA,988,651,3.0,648,16.0,632,337
31,AÑANA,132,107,0.0,107,1.0,106,25
32,AGURAIN/SALVATIERRA,3560,2379,12.0,2367,25.0,2342,1181
33,SAMANIEGO,271,196,1.0,195,1.0,194,75
34,SAN MILLÁN/DONEMILIAGA,592,387,2.0,385,4.0,381,205
35,URKABUSTAIZ,1019,759,5.0,754,8.0,746,260
36,VALDEGOVÍA/GAUBEA,846,567,14.0,553,11.0,542,279
37,HARANA/VALLE DE ARANA,204,155,2.0,153,0.0,153,49
38,VILLABUENA DE ÁLAVA/ESKUERNAGA,242,215,1.0,214,3.0,211,27
39,LEGUTIO,1401,840,4.0,836,8.0,828,561
40,YÉCORA/IEKORA,210,168,3.0,165,3.0,162,42
41,ZALDUONDO,153,129,1.0,128,2.0,126,24
42,ZAMBRANA,320,258,4.0,254,5.0,249,62
43,ZUIA,1839,1310,6.0,1304,15.0,1289,529
44,IRUÑA OKA/IRUÑA DE OCA,2486,1549,29.0,1520,27.0,1493,937
45,LANTARÓN,734,507,2.0,505,10.0,495,227
46,AMURRIO,8047,5753,57.0,5696,62.0,5634,2294
47,ARTZINIEGA,1354,999,12.0,987,11.0,976,355
48,AYALA/AIARA,2318,1678,14.0,1664,32.0,1632,640
49,LAUDIO/LLODIO,14748,9807,72.0,9734,74.0,9660,4941
50,OKONDO,912,766,12.0,754,8.0,746,146
51,MUNICIPIO CERA ARABA,6804,301,0.0,301,1.0,300,6503
52,BILBAO,273387,168162,574.0,167588,1242.0,166346,105225
53,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,7769,5355,36.0,5319,47.0,5272,2414
54,ARTZENTALES,614,456,10.0,446,7.0,439,158
55,BARAKALDO,79482,49333,218.0,49115,320.0,48795,30149
56,KARRANTZA HARANA/VALLE DE CARRANZA,2315,1834,20.0,1814,37.0,1777,481
57,GALDAMES,682,528,12.0,516,8.0,508,154
58,GORDEXOLA,1358,1063,11.0,1052,14.0,1038,295
59,GÜEÑES,5213,3853,41.0,3812,31.0,3781,1360
60,LANESTOSA,217,173,2.0,171,0.0,171,44
61,MUSKIZ,6046,4330,37.0,4293,42.0,4251,1716
62,PORTUGALETE,38015,24116,109.0,24007,191.0,23816,13899
63,VALLE DE TRÁPAGA-TRAPAGARAN,9949,6626,44.0,6582,43.0,6539,3323
64,SANTURTZI,37404,23735,125.0,23610,174.0,23436,13669
65,ORTUELLA,6952,4702,17.0,4685,37.0,4648,2250
66,SESTAO,21847,13596,103.0,13493,106.0,13387,8251
67,SOPUERTA,2024,1473,24.0,1449,29.0,1420,551
68,TRUCIOS-TURTZIOZ,435,385,5.0,380,4.0,376,50
69,BALMASEDA,6021,4442,68.0,4374,39.0,4335,1579
70,ZALLA,6563,5059,62.0,4997,47.0,4950,1504
71,ALONSOTEGI,2328,1726,12.0,1714,13.0,1701,602
