index,Ámbito,Partido,Votos
0,VITORIA-GASTEIZ,PSE-PSOE,29360
1,ALEGRÍA-DULANTZI,PSE-PSOE,257
2,ARAMAIO,PSE-PSOE,26
3,ARMIÑÓN,PSE-PSOE,19
4,ARRATZUA-UBARRUNDIA,PSE-PSOE,75
5,ASPARRENA,PSE-PSOE,85
6,BAÑOS DE EBRO/MAÑUETA,PSE-PSOE,34
7,BARRUNDIA,PSE-PSOE,47
8,BERANTEVILLA,PSE-PSOE,45
9,BERNEDO,PSE-PSOE,25
10,CAMPEZO/KANPEZU,PSE-PSOE,53
11,ZIGOITIA,PSE-PSOE,129
12,KRIPAN,PSE-PSOE,8
13,KUARTANGO,PSE-PSOE,16
14,ELBURGO/BURGELU,PSE-PSOE,45
15,ELCIEGO,PSE-PSOE,157
16,ELVILLAR/BILAR,PSE-PSOE,23
17,IRURAIZ-GAUNA,PSE-PSOE,17
18,LABASTIDA/BASTIDA,PSE-PSOE,133
19,LAGRÁN,PSE-PSOE,21
20,LAGUARDIA,PSE-PSOE,124
21,LANCIEGO/LANTZIEGO,PSE-PSOE,95
22,LAPUEBLA DE LABARCA,PSE-PSOE,99
23,LEZA,PSE-PSOE,27
24,ARRAIA-MAEZTU,PSE-PSOE,32
25,MOREDA DE ÁLAVA/MOREDA ARABA,PSE-PSOE,44
26,NAVARIDAS,PSE-PSOE,6
27,OYÓN-OION,PSE-PSOE,398
28,PEÑACERRADA-URIZAHARRA,PSE-PSOE,30
29,ERRIBERAGOITIA/RIBERA ALTA,PSE-PSOE,66
30,RIBERA BAJA/ERRIBERA BEITIA,PSE-PSOE,139
31,AÑANA,PSE-PSOE,6
32,AGURAIN/SALVATIERRA,PSE-PSOE,240
33,SAMANIEGO,PSE-PSOE,47
34,SAN MILLÁN/DONEMILIAGA,PSE-PSOE,32
35,URKABUSTAIZ,PSE-PSOE,64
36,VALDEGOVÍA/GAUBEA,PSE-PSOE,72
37,HARANA/VALLE DE ARANA,PSE-PSOE,7
38,VILLABUENA DE ÁLAVA/ESKUERNAGA,PSE-PSOE,13
39,LEGUTIO,PSE-PSOE,104
40,YÉCORA/IEKORA,PSE-PSOE,21
41,ZALDUONDO,PSE-PSOE,12
42,ZAMBRANA,PSE-PSOE,39
43,ZUIA,PSE-PSOE,160
44,IRUÑA OKA/IRUÑA DE OCA,PSE-PSOE,387
45,LANTARÓN,PSE-PSOE,90
46,AMURRIO,PSE-PSOE,784
47,ARTZINIEGA,PSE-PSOE,106
48,AYALA/AIARA,PSE-PSOE,142
49,LAUDIO/LLODIO,PSE-PSOE,1655
50,OKONDO,PSE-PSOE,32
51,MUNICIPIO CERA ARABA,PSE-PSOE,61
52,BILBAO,PSE-PSOE,32837
53,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,PSE-PSOE,996
54,ARTZENTALES,PSE-PSOE,20
55,BARAKALDO,PSE-PSOE,14703
56,KARRANTZA HARANA/VALLE DE CARRANZA,PSE-PSOE,170
57,GALDAMES,PSE-PSOE,34
58,GORDEXOLA,PSE-PSOE,91
59,GÜEÑES,PSE-PSOE,514
60,LANESTOSA,PSE-PSOE,12
61,MUSKIZ,PSE-PSOE,990
62,PORTUGALETE,PSE-PSOE,7927
63,VALLE DE TRÁPAGA-TRAPAGARAN,PSE-PSOE,1752
64,SANTURTZI,PSE-PSOE,5826
65,ORTUELLA,PSE-PSOE,1037
66,SESTAO,PSE-PSOE,3712
67,SOPUERTA,PSE-PSOE,147
68,TRUCIOS-TURTZIOZ,PSE-PSOE,28
69,BALMASEDA,PSE-PSOE,879
70,ZALLA,PSE-PSOE,666
71,ALONSOTEGI,PSE-PSOE,222
72,ZIERBENA,PSE-PSOE,64
73,ABADIÑO,PSE-PSOE,643
74,AMOREBIETA-ETXANO,PSE-PSOE,1199
